formule a recommendé;allegation;theme
vitamine C;Je souhaite renforcer mon organisme de manière naturelle.;energie
vitamine B12;Je souhaite renforcer mon organisme de manière naturelle.;energie
Acide folique ;Je souhaite renforcer mon organisme de manière naturelle.;energie
spirulina ;Je souhaite renforcer mon organisme de manière naturelle.;energie
ginseng ;Je souhaite renforcer mon organisme de manière naturelle.;energie
rhodiola ;Je souhaite renforcer mon organisme de manière naturelle.;energie
Gelee royal;Je souhaite renforcer mon organisme de manière naturelle.;energie
ginseng ;Je souhaite renforcer mon organisme de manière naturelle.;energie
myrtille;Je souhaite renforcer mon organisme de manière naturelle.;energie
Ginseng ;Je souhaite renforcer mon organisme de manière naturelle.;energie
thé vert;Je cherche une alternative naturelle au café.;energie
Guarana ;Je cherche une alternative naturelle au café.;energie
Fer,;Je me sens extremement fatigué;energie
Vitamine B12;Je me sens extremement fatigué;energie
Vitamine C;Je me sens extremement fatigué;energie
Coenzyme Q10;Je me sens extremement fatigué;energie
Ginseng;Je me sens extremement fatigué;energie
Vitamines du groupe B;Je me sens toujours fatigué;energie
magnésium;Je me sens toujours fatigué;energie
fer;Je me sens toujours fatigué;energie
coenzyme q10;Je me sens toujours fatigué;energie
ginseng;Je me sens toujours fatigué;energie
gelee royale ;Je me sens toujours fatigué;energie
spiruline ;Je me sens toujours fatigué;energie
Caféine;J'ai besoin d'un coup de boost momentané.;energie
guarana ;J'ai besoin d'un coup de boost momentané.;energie
ginseng;J'ai besoin d'un coup de boost momentané.;energie
taurine ;J'ai besoin d'un coup de boost momentané.;energie
vitamine du groupe B;J'ai besoin d'un coup de boost momentané.;energie
vitamine D;Je tombe souvent malade. ( ==> sommeil pont ) ;Immunité
zinc;Je tombe souvent malade. ( ==> sommeil pont ) ;Immunité
echinacee ;Je tombe souvent malade. ( ==> sommeil pont ) ;Immunité
propolis;Je tombe souvent malade. ( ==> sommeil pont ) ;Immunité
propilis;Je tombe souvent malade. ( ==> sommeil pont ) ;Immunité
Échinacée;Je tombe souvent malade. ( ==> sommeil pont ) ;Immunité
Vitamine C;J'ai du mal à me remettre d'une maladie. ( ==> sommeil pont );Immunité
zinc;J'ai du mal à me remettre d'une maladie. ( ==> sommeil pont );Immunité
selenium;J'ai du mal à me remettre d'une maladie. ( ==> sommeil pont );Immunité
probiotique;J'ai du mal à me remettre d'une maladie. ( ==> sommeil pont );Immunité
reishi;J'ai du mal à me remettre d'une maladie. ( ==> sommeil pont );Immunité
shiitake;J'ai du mal à me remettre d'une maladie. ( ==> sommeil pont );Immunité
ginseng;J'ai du mal à me remettre d'une maladie. ( ==> sommeil pont );Immunité
Astragale;J'ai du mal à me remettre d'une maladie. ( ==> sommeil pont );Immunité
Vitamine C;Je cherche à renforcer mes défenses naturelles. ( ==> sommeil pont ) ;Immunité
vitamine d;Je cherche à renforcer mes défenses naturelles. ( ==> sommeil pont ) ;Immunité
zinc;Je cherche à renforcer mes défenses naturelles. ( ==> sommeil pont ) ;Immunité
probiotique;Je cherche à renforcer mes défenses naturelles. ( ==> sommeil pont ) ;Immunité
Échinacée;Je cherche à renforcer mes défenses naturelles. ( ==> sommeil pont ) ;Immunité
sureau;Je cherche à renforcer mes défenses naturelles. ( ==> sommeil pont ) ;Immunité
vitamine c ;Je cherche à renforcer mes défenses naturelles. ( ==> sommeil pont ) ;Immunité
zinc;Je cherche à renforcer mes défenses naturelles. ( ==> sommeil pont ) ;Immunité
échinacée;Je cherche à renforcer mes défenses naturelles. ( ==> sommeil pont ) ;Immunité
probiotique;J'ai des allergies saisonnières ou des intolérances alimentaires.;Immunité
vitamine c;J'ai des allergies saisonnières ou des intolérances alimentaires.;Immunité
Quercétine;J'ai des allergies saisonnières ou des intolérances alimentaires.;Immunité
curcuma;J'ai des allergies saisonnières ou des intolérances alimentaires.;Immunité
bromelaine;J'ai des allergies saisonnières ou des intolérances alimentaires.;Immunité
ortie;J'ai des allergies saisonnières ou des intolérances alimentaires.;Immunité
Acides gras oméga-3 (DHA/EPA);Je m'inquiète du vieillissement de mon cerveau avec l'age ( ==> sommeil pont ) ( ==> stress ) ;Santé du cerveau
phosphatidylsérine;Je m'inquiète du vieillissement de mon cerveau avec l'age ( ==> sommeil pont ) ( ==> stress ) ;Santé du cerveau
ginkgo biloba ;Je m'inquiète du vieillissement de mon cerveau avec l'age ( ==> sommeil pont ) ( ==> stress ) ;Santé du cerveau
vitamine e;Je m'inquiète du vieillissement de mon cerveau avec l'age ( ==> sommeil pont ) ( ==> stress ) ;Santé du cerveau
coenzyme q10;Je m'inquiète du vieillissement de mon cerveau avec l'age ( ==> sommeil pont ) ( ==> stress ) ;Santé du cerveau
Acides gras oméga-3 (DHA/EPA);J'ai des antécédents familiaux de maladies neurodégénératives.;Santé du cerveau
coenzyme q10;J'ai des antécédents familiaux de maladies neurodégénératives.;Santé du cerveau
vitamine E;J'ai des antécédents familiaux de maladies neurodégénératives.;Santé du cerveau
curcuma;J'ai des antécédents familiaux de maladies neurodégénératives.;Santé du cerveau
resveratol;J'ai des antécédents familiaux de maladies neurodégénératives.;Santé du cerveau
Acides gras oméga-3 (DHA/EPA);Je souhaite maintenir une endurance de mes capacités mentales. ( ==> sommeil pont) ( ==> stress);Santé du cerveau
 vitamines du groupe B;Je souhaite maintenir une endurance de mes capacités mentales. ( ==> sommeil pont) ( ==> stress);Santé du cerveau
 ginkgo biloba;Je souhaite maintenir une endurance de mes capacités mentales. ( ==> sommeil pont) ( ==> stress);Santé du cerveau
bacopa monnieri;Je souhaite maintenir une endurance de mes capacités mentales. ( ==> sommeil pont) ( ==> stress);Santé du cerveau
phosphatidylsérine;Je souhaite maintenir une endurance de mes capacités mentales. ( ==> sommeil pont) ( ==> stress);Santé du cerveau
Caféine;Je suis étudiant et je veux optimiser mes performances intellectuelles (==> memoire et concentration) ( ==> sommeil pont) (==> stress);Santé du cerveau
Vitamines du groupe B;Je suis étudiant et je veux optimiser mes performances intellectuelles (==> memoire et concentration) ( ==> sommeil pont) (==> stress);Santé du cerveau
bacopa monnieri;Je suis étudiant et je veux optimiser mes performances intellectuelles (==> memoire et concentration) ( ==> sommeil pont) (==> stress);Santé du cerveau
ginkgo biloba ;Je suis étudiant et je veux optimiser mes performances intellectuelles (==> memoire et concentration) ( ==> sommeil pont) (==> stress);Santé du cerveau
L-théanine;Je suis étudiant et je veux optimiser mes performances intellectuelles (==> memoire et concentration) ( ==> sommeil pont) (==> stress);Santé du cerveau
Acides gras oméga-3 (DHA/EPA);Je ressens une baisse de mes capacités cognitives (==> memoire et concentration) ( ==> sommeil pont ) ( ==> stress ) ;Santé du cerveau
Vitamines du groupe B (B6, B9, B12);Je ressens une baisse de mes capacités cognitives (==> memoire et concentration) ( ==> sommeil pont ) ( ==> stress ) ;Santé du cerveau
Ginkgo biloba;Je ressens une baisse de mes capacités cognitives (==> memoire et concentration) ( ==> sommeil pont ) ( ==> stress ) ;Santé du cerveau
Lion's mane (Hericium erinaceus);Je ressens une baisse de mes capacités cognitives (==> memoire et concentration) ( ==> sommeil pont ) ( ==> stress ) ;Santé du cerveau
Phosphatidylsérine;Je ressens une baisse de mes capacités cognitives (==> memoire et concentration) ( ==> sommeil pont ) ( ==> stress ) ;Santé du cerveau
Ginkgo biloba;J'ai des difficultés de concentration et de mémoire;memoire et concentration pont
Phosphatidylsérine;J'ai des difficultés de concentration et de mémoire;memoire et concentration pont
Vitamine C;J'ai des difficultés de concentration et de mémoire;memoire et concentration pont
Bacopa monnieri;J'ai des difficultés de concentration et de mémoire;memoire et concentration pont
Acétyl-L-carnitine;J'ai des difficultés de concentration et de mémoire;memoire et concentration pont
Huperzine A;J'ai des difficultés de concentration et de mémoire;memoire et concentration pont
Caféine;J'ai des difficultés de concentration et de mémoire;memoire et concentration pont
Théanine;J'ai des difficultés de concentration et de mémoire;memoire et concentration pont
Acides gras oméga-3 (DHA/EPA);J'ai des difficultés à me concentrer.;Mémoire et concentration
Phosphatidylsérine;J'ai des difficultés à me concentrer.;Mémoire et concentration
Ginkgo biloba;J'ai des difficultés à me concentrer.;Mémoire et concentration
Bacopa monnieri;J'ai des difficultés à me concentrer.;Mémoire et concentration
Caféine;J'ai des difficultés à me concentrer.;Mémoire et concentration
